Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789978689,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
1789978690,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
1789978691,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
1789978692,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978693,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978694,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978695,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978696,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978697,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978698,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,10,0,25000,21121.888479986228,6402.569899975788,25002.07980000414,1282.5
1789978699,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978700,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978701,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978702,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978703,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978704,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,11,0,25000,21449.5310090768,6402.569899975788,25002.07980000414,1282.6363636363637
1789978705,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978706,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978707,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978708,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978709,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978710,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,12,0,25000,21732.453291653655,6402.569899975788,25002.07980000414,1280.0
1789978711,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978712,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978713,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978714,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978715,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978716,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,13,0,25000,21962.67616921642,6402.569899975788,25002.07980000414,1279.0
1789978717,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978718,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978719,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978720,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978721,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978722,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,14,0,25000,22155.520907129227,6402.569899975788,25002.07980000414,1277.2142857142858
1789978723,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,15,0,25000,22331.672399987776,6402.569899975788,25002.07980000414,1277.0666666666666
1789978724,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,15,0,25000,22331.672399987776,6402.569899975788,25002.07980000414,1277.0666666666666
